PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Activity Summary,Ratio Activity,Ratio Potency (uM),Ratio Efficacy (%),535 nm Activity,535 nm Potency (uM),535 nm Efficacy (%),590 nm Activity,590 nm Potency (uM),590 nm Efficacy (%),Viability Activity,Viability Potency (uM),Viability Efficacy (%),Sample Source
1799,144205352,71821,Inconclusive,5,,,inconclusive,active antagonist,0.74978,-69.4228,active agonist,1.1607,116.237,inactive,,0,inactive,,0,Chemical Block
1800,144205353,5282198,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Chemical Block
1801,144205354,71267,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Chemical Block
1802,144205355,194699,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Chemical Block
1803,144205356,6018,Inconclusive,5,,,inconclusive,active antagonist,16.1535,-65.3557,active agonist,12.3481,82.8077,inconclusive agonist,,,inactive,,0,Chemical Block
1804,144205357,65477,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,,,inactive,,0,Chemical Block
1805,144205358,2292,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Chemical Block
1806,144205359,160796,Inconclusive,5,,,inconclusive,inconclusive agonist,,7.97326,inactive,,0,inactive,,0,inactive,,0,Chemical Block
1807,144205360,65682,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Chemical Block
1808,144205361,68835,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,CHESS
1809,144205362,68909,Inconclusive,5,,,inconclusive,active antagonist,19.1156,-53.9054,active agonist,23.159,61.8583,inactive,,0,inactive,,0,Enamine
1810,144205363,14604,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
1811,144205364,24361,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
1812,144205365,68706,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
1813,144205366,71894,Active,47,,,active antagonist,active antagonist,18.1808,-72.1552,inactive,,0,active antagonist,18.1808,-68.6389,inactive,,0,Enamine
1814,144205367,69594,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inconclusive agonist,19.9496,42.0549,Enamine
1815,144205368,2447,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
1816,144205369,6434871,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
1817,144205370,13756,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
1818,144205371,27448,Active,71,,,active antagonist,active antagonist,0.790777,-104.958,active agonist,19.8634,195.318,active antagonist,0.628136,-84.0063,inconclusive antagonist,3.34915,-22.1073,Enamine
1819,144205372,28858,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
1820,144205373,2018,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
1821,144205374,15250,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
1822,144205375,39299,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
1823,144205376,70374,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
1824,144205377,26436,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
1825,144205378,41109,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
1826,144205379,8614,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
1827,144205380,68888,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
1828,144205381,68907,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Enamine
1829,144205382,17756940,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,Enamine
1830,144205383,72073,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inconclusive agonist,,,FCHC
1831,144205384,16564,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,FCHC
1832,144205385,62436,Active,48,,,active antagonist,active antagonist,22.2871,-97.287,inactive,,0,active antagonist,22.2871,-90.0818,inactive,,0,FCHC
1833,144205386,62751,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,FCHC
1834,144205387,11147,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,FLUKA
1835,144205388,5280933,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,FLUKA
1836,144205389,68662,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,FLUKA
1837,144205390,5281233,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,FLUKA
1838,144205391,21847,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1839,144205392,71643,Active,45,,,active antagonist,active antagonist,23.7101,-68.6803,inactive,,0,active antagonist,11.8832,-55.0594,inactive,,0,InterBioScreen
1840,144205393,161562,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,7.4978,39.1225,inactive,,0,inconclusive agonist,5.01111,24.8456,inactive,,0,InterBioScreen
1841,144205394,219081,Inconclusive,5,,,inconclusive,inconclusive agonist,30.5221,49.3689,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1842,144205395,6075,Inconclusive,20,,,active agonist,active agonist,11.2185,96.2999,inactive,,0,inconclusive agonist,8.41267,64.5326,inactive,,0,InterBioScreen
1843,144205396,72157,Active,50,,,active antagonist,active antagonist,7.4978,-69.8235,inconclusive agonist,,24.5162,inconclusive antagonist,3.7578,-41.5599,inactive,,0,InterBioScreen
1844,144205397,9047,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,InterBioScreen
1845,144205398,969494,Inconclusive,5,,,inconclusive,inconclusive agonist,26.6032,60.5714,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1846,144205399,3275,Inconclusive,5,,,inconclusive,inconclusive agonist,26.6032,61.3777,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1847,144205400,8708,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,InterBioScreen
1848,144205401,13113,Inconclusive,5,,,inconclusive,inconclusive agonist,9.43918,54.2499,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1849,144205402,62529,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1850,144205403,71116,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1851,144205404,18484,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1852,144205405,65600,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1853,144205406,27918,Inconclusive,5,,,inconclusive,active antagonist,14.6124,-68.6303,active agonist,23.159,76.1651,inactive,,0,inactive,,0,InterBioScreen
1854,144205407,71234,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1855,144205408,10832,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1856,144205409,65630,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1857,144205410,68947,Inconclusive,20,,,active agonist,active agonist,14.0622,43.2416,inactive,,0,inconclusive agonist,22.095,52.6135,inactive,,0,InterBioScreen
1858,144205411,65684,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1859,144205412,197861,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1860,144205413,65790,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1861,144205414,12597,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1862,144205415,667483,Active,49,,,active antagonist,active antagonist,17.0368,-87.4839,inconclusive agonist,,20.9896,active antagonist,17.0368,-66.8134,inactive,,0,InterBioScreen
1863,144205416,155143,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1864,144205417,3686,Inconclusive,20,,,active agonist,active agonist,8.7418,116.673,inactive,,0,active agonist,7.21552,87.4439,inactive,,0,InterBioScreen
1865,144205418,65944,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1866,144205419,21453,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1867,144205420,60605,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1868,144205421,5310993,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1869,144205422,12560,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1870,144205423,5284580,Active,63,,,active antagonist,active antagonist,0.427944,-68.8525,inactive,,0,active antagonist,0.367046,-73.2761,inactive,,0,InterBioScreen
1871,144205424,170327,Inconclusive,5,,,inconclusive,active agonist,12.533,44.0269,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1872,144205425,5719,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,InterBioScreen
1873,144205426,68664,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1874,144205427,119583,Inconclusive,5,,,inconclusive,active antagonist,4.91587,-56.1776,active agonist,11.4358,75.6294,inactive,,0,inactive,,0,InterBioScreen
1875,144205428,128798,Inactive,0,,,inactive,inactive,,0,active agonist,28.0578,28.7954,inactive,,0,inactive,,0,InterBioScreen
1876,144205429,5487,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,InterBioScreen
1877,144205430,3005572,Inconclusive,20,,,active agonist,active agonist,9.0838,117.455,inconclusive antagonist,,-32.5093,active agonist,7.79114,80.9345,inactive,,0,InterBioScreen
1878,144205431,10476437,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Maybridge
1879,144205432,68942,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Maybridge
1880,144205433,10046567,Inactive,0,,,inactive,inactive,,0,active agonist,7.04781,35.0526,inactive,,0,inactive,,0,Maybridge
1881,144205434,68363,Inactive,0,,,inactive,inactive,,0,inactive,,0,active antagonist,13.3332,-53.5363,active antagonist,31.0171,-31.2128,Maybridge
1882,144205435,60172,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,MDD
1883,144205436,15763,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Menai
1884,144205437,71321,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Peakdale
1885,144205438,31060,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,9.43918,63.6581,inactive,,0,active agonist,4.46616,60.2304,inconclusive agonist,,,SigmaAldrich
1886,144205439,12358742,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1887,144205440,250948,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,9.99848,43.0134,inactive,,0,inconclusive agonist,6.68242,44.7616,inactive,,0,SigmaAldrich
1888,144205441,71671,Active,44,,,active antagonist,active antagonist,24.791,-55.3303,inactive,,0,active antagonist,25.0066,-37.5539,inactive,,0,SigmaAldrich
1889,144205442,9454,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1890,144205443,71693,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1891,144205444,16837,Active,60,,,active antagonist,active antagonist,2.70015,-90.8219,active antagonist,17.0368,-32.8466,active antagonist,2.59849,-87.1257,active antagonist,19.5704,-57.0247,SigmaAldrich
1892,144205445,60196286,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1893,144205446,6719,Active,46,,,active antagonist,active antagonist,25.0066,-84.265,inactive,,0,active antagonist,25.9849,-68.234,inactive,,0,SigmaAldrich
1894,144205447,68939,Inconclusive,20,,,active agonist,active agonist,11.607,122.987,active agonist,29.1555,100.387,active agonist,10.3448,129.662,inactive,,0,SigmaAldrich
1895,144205448,9570327,Inconclusive,20,,,active agonist,active agonist,12.1511,92.3468,inactive,,0,inconclusive agonist,10.2238,71.3997,inactive,,0,SigmaAldrich
1896,144205449,31475,Active,63,,,active antagonist,active antagonist,3.2713,-110.058,active agonist,29.1555,146.365,active antagonist,2.40651,-83.2988,inactive,,0,SigmaAldrich
1897,144205450,70846,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,-64.8404,inactive,,0,inconclusive antagonist,,-54.4517,inactive,,0,SigmaAldrich
1898,144205451,37384,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1899,144205452,37910,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1900,144205453,5358572,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1901,144205454,19918,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1902,144205455,10944,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1903,144205456,7572,Active,50,,,active antagonist,active antagonist,22.2871,-114.63,active agonist,22.8883,50.8158,active antagonist,24.0651,-92.6307,inactive,,0,SigmaAldrich
1904,144205457,65620,Active,49,,,active antagonist,active antagonist,26.6032,-114.154,inactive,,0,active antagonist,25.1151,-81.9467,inactive,,0,SigmaAldrich
1905,144205458,11310,Inconclusive,20,,,active agonist,active agonist,12.8312,104.192,inactive,,0,active agonist,12.3481,125.418,inconclusive agonist,,,SigmaAldrich
1906,144205459,24188465,Inconclusive,20,,,active agonist,active agonist,12.0611,135.137,inactive,,0,active agonist,12.0611,147.425,inactive,,0,SigmaAldrich
1907,144205460,21583,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1908,144205461,31343,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,1.77801,-48.6033,inactive,,0,inconclusive antagonist,,,inactive,,0,SigmaAldrich
1909,144205462,15568,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,,,inactive,,0,SigmaAldrich
1910,144205463,71818,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1911,144205464,6194,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1912,144205465,65596,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1913,144205466,71645,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1914,144205467,4602,Active,55,,,active antagonist,active antagonist,6.68242,-96.4631,active agonist,26.6032,50.2835,active antagonist,6.43084,-85.7721,inactive,,0,SigmaAldrich
1915,144205468,8298,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1916,144205469,10404,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1917,144205470,264852,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1918,144205471,8961,Active,50,,,active antagonist,active antagonist,24.0651,-119.29,inconclusive agonist,,24.9788,active antagonist,25.0066,-117.599,inactive,,0,SigmaAldrich
1919,144205472,14369,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1920,144205473,90202,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1921,144205474,32322,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1922,144205475,71840,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1923,144205476,19917,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1924,144205477,24107,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1925,144205478,68089,Inconclusive,5,,,inconclusive,inconclusive antagonist,23.7101,-63.6572,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1926,144205479,71839,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1927,144205480,10646,Inconclusive,20,,,active agonist,active agonist,12.5873,66.9535,inactive,,0,inconclusive agonist,,,inactive,,0,SigmaAldrich
1928,144205481,21798,Active,58,,,active antagonist,active antagonist,6.28136,-109.916,active agonist,23.159,161.627,active antagonist,6.78246,-83.0502,active antagonist,21.1317,-35.6455,SigmaAldrich
1929,144205482,72068,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,25.9849,-77.4167,inactive,,0,active antagonist,20.6405,-94.2627,inconclusive antagonist,31.618,-35.268,SigmaAldrich
1930,144205483,101576,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,3.7578,-44.5972,inactive,,0,active antagonist,10.5909,-57.9174,inactive,,0,Maybridge
1931,144205484,17499,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1932,144205485,67686,Active,43,,,active antagonist,active antagonist,21.1317,-41.8545,inactive,,0,inconclusive antagonist,,-47.6527,inactive,,0,SigmaAldrich
1933,144205486,62495,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,15.8465,40.4268,inactive,,0,inconclusive agonist,,,inactive,,0,SigmaAldrich
1934,144205487,60196287,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1935,144205488,17595,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1936,144205489,7405,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1937,144205490,636367,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1938,144205491,31340,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1939,144205492,638678,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1940,144205493,9068,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SigmaAldrich
1941,144205494,92094,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1942,144205495,21630,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1943,144205496,6034,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1944,144205497,7315,Inconclusive,5,,,inconclusive,inconclusive antagonist,25.6811,-45.4156,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1945,144205498,5280805,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1946,144205499,5859,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,REIDEL
1947,144205500,107926,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,SigmaAldrich
1948,144205501,17931,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,,,inactive,,0,inconclusive agonist,,,inactive,,0,Specs
1949,144205502,47979,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Specs
1950,144205503,6040,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Specs
1951,144205504,7975,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Specs
1952,144205505,28891,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Tripos
1953,144205506,159977,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1954,144205507,17693,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,13.5328,-99.9534,active agonist,15.7781,27.566,active antagonist,13.5328,-80.1176,active antagonist,29.8493,-37.9471,Vitas
1955,144205508,135400471,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,-45.0266,inactive,,0,active antagonist,23.7101,-57.0347,inactive,,0,Vitas
1956,144205509,12628,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1957,144205510,165457,Active,61,,,active antagonist,active antagonist,3.22305,-103.164,inactive,,0,active antagonist,5.30804,-86.1252,inactive,,0,Vitas
1958,144205511,60582,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1959,144205512,234310,Inconclusive,5,,,inconclusive,active antagonist,11.2185,-45.684,inconclusive agonist,,23.1822,inactive,,0,inactive,,0,Vitas
1960,144205513,234310,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Chembridge
1961,144205514,8434,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1962,144205515,19646,Active,68,,,active antagonist,active antagonist,0.732353,-94.9431,inactive,,0,active antagonist,0.704781,-93.421,active antagonist,21.1317,-55.0921,Vitas
1963,144205516,9574235,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1964,144205517,33334,Active,64,,,active antagonist,active antagonist,1.46124,-92.814,active agonist,16.3953,532.717,active antagonist,1.20611,-78.9817,active antagonist,6.68242,-32.826,Vitas
1965,144205518,64517,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1966,144205519,53555,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1967,144205520,6918493,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1968,144205521,36663,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive agonist,,,inactive,,0,Vitas
1969,144205522,19910,Active,51,,,active antagonist,active antagonist,9.21978,-80.2516,inactive,,0,active antagonist,9.21978,-71.5466,inactive,,0,Vitas
1970,144205523,36303,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1971,144205524,7181,Inconclusive,5,,,inconclusive,active antagonist,6.22721,-27.6815,active agonist,23.159,35.2184,inactive,,0,inactive,,0,Vitas
1972,144205525,31390,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1973,144205526,667497,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1974,144205527,616236,Active,51,,,active antagonist,active antagonist,9.95529,-83.8971,active agonist,18.3959,74.861,inconclusive antagonist,,,inactive,,0,Vitas
1975,144205528,135524783,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1976,144205529,92879,Inactive,0,,,inactive,inactive,,0,inactive,,0,inconclusive antagonist,,,inactive,,0,Vitas
1977,144205530,6433573,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1978,144205531,443831,Active,59,,,active antagonist,active antagonist,3.81406,-95.162,active agonist,25.9849,100.733,active antagonist,0.291555,-44.3886,inconclusive agonist,2.23838,24.4023,Vitas
1979,144205532,71128,Inconclusive,20,,,active agonist,active agonist,19.9496,102.421,inactive,,0,inconclusive agonist,15.8465,75.7268,inactive,,0,Vitas
1980,144205533,68943,Inconclusive,5,,,inconclusive,inconclusive agonist,7.23792,29.5533,inactive,,0,inactive,,0,inactive,,0,Vitas
1981,144205534,72098,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1982,144205535,14895,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,15.184,-93.9285,inactive,,0,active antagonist,13.5328,-95.8074,active antagonist,27.644,-36.309,Vitas
1983,144205536,65584,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1984,144205537,7174,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1985,144205538,7176,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1986,144205539,71895,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Vitas
1987,144205540,5283731,Active,59,,,active antagonist,active antagonist,5.81729,-108.599,inactive,,0,active antagonist,5.3875,-101.142,inactive,,0,BIOMOL
1988,144205541,5280453,Active,51,,,active antagonist,active antagonist,14.0622,-94.1904,inactive,,0,active antagonist,13.0233,-78.3847,inactive,,0,Toronto Research
1989,144205542,5283748,Active,53,,,active antagonist,active antagonist,13.0233,-111.214,inactive,,0,active antagonist,13.0233,-98.0109,inactive,,0,BIOMOL
1990,144205543,23716429,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,NCI
1991,144205544,446284,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1992,144205545,445580,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SigmaAldrich
1993,144205546,56846451,Inconclusive,10,,,inconclusive agonist,inconclusive agonist,3.34915,42.188,inactive,,0,inconclusive agonist,9.43918,82.7994,inactive,,0,Tocris
1994,144205547,71986,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,Tocris
1995,144205548,45006154,Inconclusive,30,,,inconclusive antagonist,inconclusive antagonist,,-39.2619,inactive,,0,active antagonist,29.8493,-58.0238,inactive,,0,Tocris
1996,144205549,46861540,Inconclusive,20,,,active agonist,active agonist,25.1151,76.0126,inactive,,0,inconclusive agonist,,,inactive,,0,Tocris
1997,144205550,457193,Inconclusive,20,,,active agonist,active agonist,17.7033,65.3257,inactive,,0,active agonist,11.607,59.8488,inconclusive agonist,1.67855,63.111,SigmaAldrich
1998,144205551,16683761,Inconclusive,25,,,inconclusive antagonist (cytotoxic),active antagonist,17.0368,-100.867,active agonist,21.448,26.0632,active antagonist,17.7033,-98.705,active antagonist,17.4422,-107.739,SigmaAldrich
1999,144205552,65329,Inconclusive,20,,,active agonist,active agonist,5.5157,222.052,inconclusive antagonist,8.91116,-28.1162,active agonist,4.55268,168.702,active antagonist,33.4915,-64.963,SIGMA
2000,144205553,6433334,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,,0,SIGMA
2001,144205554,5282138,Active,53,,,active antagonist,active antagonist,12.533,-103.883,inactive,,0,active antagonist,13.5328,-99.5437,active antagonist,8.41267,-29.9388,SigmaAldrich
