PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype replicate 1,Phenotype replicate 2,Phenotype replicate 3,Phenotype replicate 4,Predicted Target Gene
306,104195014,,Inactive,,,DRSC15222,mito clumps,cell death with mito clumps,,,41796
307,104195039,,Inactive,,,DRSC15247,cell death and mito clumps,CELL DEATH,,,42674
308,104195074,,Inactive,,,DRSC15282,mito clumps with cell death,,,,42267
309,104195103,,Inactive,,,DRSC15311,cell death,,,,41491
310,104195162,,Inactive,,,DRSC15370,cell death and mito clumps,,,,50070
311,104195359,,Active,3,,DRSC15567,mito clumps,,,,42410
312,104195458,,Active,3,,DRSC15666,mito clumps with cell death,MITO CLUMPS,,,43359
313,104195493,,Inactive,,,DRSC15701,mito clumps,,,,42402
314,104195505,,Inactive,,,DRSC15713,mito clumps with cell death,MITO CLUMPS WITH CELL DEATH,,,43089
315,104195516,,Active,3,,DRSC15724,cell death,cell death,,,41880
316,104195600,,Inactive,,,DRSC15808,mito clumps with cell death,MITO CLUMPS WITH CELL DEATH,,,42444
317,104195632,,Inactive,,,DRSC15840,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,43320
318,104195655,,Inactive,,,DRSC15863,mito clumps with cell death,,,,42602
319,104195797,,Inactive,,,DRSC16005,Y,,,,50070
320,104195810,,Inactive,,,DRSC16018,Y,,,,50070
321,104195881,,Inactive,,,DRSC16089,Y,,,,42934
322,104195970,,Inactive,,,DRSC16178,cell death with mito  clumps,CELL DEATH,,,42704
323,104196017,,Inactive,,,DRSC16225,mito clumps,MITO CLUMPS WITH CELL DEATH,,,42150
324,104196049,,Inactive,,,DRSC16257,mito clumps,cell death with mito clumps,,,41783
325,104196129,,Inactive,,,DRSC16337,mito clumps with cell death,MITO CLUMPS WITH CELL DEATH,,,42169
326,104196265,,Inactive,,,DRSC16473,cell death with mito clumps,,,,41680
327,104196276,,Inactive,,,DRSC16484,mito clumps with cell death,,,,41145
328,104196377,,Inactive,,,DRSC16585,mito clumps with some cell death,cell death with mito clumps,,,45396
329,104196453,,Inactive,,,DRSC16661,mito clumps with cell death,,,,44936
330,104196460,,Active,3,,DRSC16668,mito clumps,,,,117369
331,104196486,,Inactive,,,DRSC16694,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,43156
332,104196492,,Inactive,,,DRSC16700,MITO CLUMPS,,,,41943
333,104196503,,Inactive,,,DRSC16711,mito clumps with some cell death,cell death with mito clumps,,,41840
334,104196529,,Inactive,,,DRSC16737,mito clumps with cell death,MITO CLUMPS WITH CELL DEATH,,,43725
335,104196590,,Inactive,,,DRSC16798,cell death,,,,41531
336,104196623,,Inactive,,,DRSC16831,Y,,,,41721
337,104196634,,Inactive,,,DRSC16842,Y,,,,42805
338,104196689,,Inactive,,,DRSC16897,mito clumps with cell death,cell death,,,42037
339,104196691,,Inactive,,,DRSC16899,mito clumps,,,,41183
340,104196702,,Inactive,,,DRSC16910,mito clumps,,,,41124
341,104196718,,Inactive,,,DRSC16926,MITO CLUMPS WITH CELL DEATH,,,,"8674070,45840"
342,104196743,,Inactive,,,DRSC16951,mito clumps,MITO CLUMPS WITH CELL DEATH,,,42226
343,104196756,,Inactive,,,DRSC16964,mito clumps with cell death,,,,43604
344,104196783,,Inactive,,,DRSC16991,mito clumps,CELL DEATH WITH MITO CLUMPS,,,43155
345,104196813,,Inactive,,,DRSC17021,Y,,,,42752
346,104196820,,Inactive,,,DRSC17028,cell death with mito clumps,,,,42757
347,104196821,,Inactive,,,DRSC17029,mito clumps,,,,53439
348,104196847,,Inactive,,,DRSC17055,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,43580
349,104196860,,Inactive,,,DRSC17068,cell death,cell death,,,41944
350,104196881,,Inactive,,,DRSC17089,Y,,,,41737
351,104196888,,Inactive,,,DRSC17096,mito clumps with cell death,CELL DEATH WITH MITO FRAGMENTATION,,,43651
352,104196939,,Inactive,,,DRSC17147,MITO CLUMPS WITH CELL DEATH,,,,43816
353,104197017,,Inactive,,,DRSC17225,mito clumps with cell death,MITO CLUMPS WITH CELL DEATH,,,43867
354,104197040,,Inactive,,,DRSC17248,Cell death with mito clumps,,,,
355,104197099,,Active,3,,DRSC17307,CELL DEATH,,,,251900
356,104197186,,Inactive,,,DRSC17394,CELL DEATH WITH MITO CLUMPS,,,,
357,104197264,,Active,3,,DRSC17472,CELL DEATH WITH MITO CLUMPS,,,,31596
358,104197265,,Inactive,,,DRSC17473,CELL DEATH WITH MITO CLUMPS,,,,
359,104197280,,Inactive,,,DRSC17488,cell death with mito clumps,,,,
360,104197298,,Inactive,,,DRSC17506,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,
361,104197324,,Inactive,,,DRSC17532,CELL DEATH WITH MITO CLUMPS,,,,
362,104197346,,Inactive,,,DRSC17554,CELL DEATH WITH MITO CLUMPS,,,,
363,104197380,,Inactive,,,DRSC17588,CELL DEATH WITH MITO CLUMPS,,,,
364,104197404,,Inactive,,,DRSC17612,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,
365,104197407,,Inactive,,,DRSC17615,CELL DEATH WITH MITO CLUMPS,,,,
366,104197434,,Inactive,,,DRSC17642,CELL DEATH WITH MITO CLUMPS,,,,31957
367,104197515,,Inactive,,,DRSC17723,CELL DEATH WITH MITO CLUMPS,,,,31521
368,104197535,,Inactive,,,DRSC17743,clumps,,,,31840
369,104197540,,Inactive,,,DRSC17748,mito clumps,,,,31771
370,104197572,,Inactive,,,DRSC17780,mito clumps with cell death,,,,31067
371,104197585,,Inactive,,,DRSC17793,mito clumps with cell death,,,,31036
372,104197586,,Inactive,,,DRSC17794,cell death with mito clumps,CELL DEATH MORE PRONOUNCED THAN STRIPE,,,5740245
373,104197627,,Inactive,,,DRSC17835,mito clumps,CELL DEATH WITH MITO CLUMPS,,,318206
374,104197635,,Inactive,,,DRSC17843,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,246673
375,104197666,,Inactive,,,DRSC17874,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,
376,104197684,,Inactive,,,DRSC17892,mito clumps with cell death,,,,31322
377,104197718,,Inactive,,,DRSC17926,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,
378,104197720,,Inactive,,,DRSC17928,mito clumps,,,,31628
379,104197725,,Inactive,,,DRSC17933,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,31610
380,104197794,,Inactive,,,DRSC18002,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,31935
381,104197795,,Inactive,,,DRSC18003,MITO CLUMPS WITH CELL DEATH,,,,
382,104197809,,Active,3,,DRSC18017,cell death with mito clumps,,,,31733
383,104197817,,Inactive,,,DRSC18025,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,44861
384,104197818,,Inactive,,,DRSC18026,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,44861
385,104197830,,Inactive,,,DRSC18038,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,31829
386,104197834,,Inactive,,,DRSC18042,weaker mitotracker staining,CELL DEATH WITH MITO CLUMPS,,,31864
387,104197844,,Inactive,,,DRSC18052,cell death with cell rounding and mito clumps,MITO CLUMPS WITH CELL DEATH,,,31420
388,104197845,,Inactive,,,DRSC18053,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,8674091
389,104197881,,Inactive,,,DRSC18089,Cell death with mito clumps,MITO CLUMPS WITH CELL DEATH,,,31469
390,104197908,,Inactive,,,DRSC18116,cell death with mito clumps,,,,31662
391,104197911,,Inactive,,,DRSC18119,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,31344
392,104197927,,Inactive,,,DRSC18135,mito clumps,,,,31440
393,104198064,,Inactive,,,DRSC18272,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,31622
394,104198141,,Inactive,,,DRSC18349,cell death with mito clumps,MITO CLUMPS WITH CELL DEATH,,,31470
395,104198142,,Inactive,,,DRSC18350,mito clumps,,,,31470
396,104198175,,Inactive,,,DRSC18383,mito clumps,CELL DEATH WITH MITO CLUMPS,,,31353
397,104198181,,Inactive,,,DRSC18389,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,31547
398,104198238,,Inactive,,,DRSC18446,MITO CLUMPS WITH CELL DEATH,,,,31991
399,104198287,,Inactive,,,DRSC18495,MITO CLUMPS WITH CELL DEATH,,,,"8674057,31162"
400,104198308,,Inactive,,,DRSC18516,mito clumps with cell death,MITO CLUMPS WITH CELL DEATH,,,31167
401,104198424,,Inactive,,,DRSC18632,cell death,MITO CLUMPS WITH CELL DEATH,,,31065
402,104198499,,Inactive,,,DRSC18707,cell shape associated mito changes,,,,31022
403,104198505,,Inactive,,,DRSC18713,cell death,CELL DEATH LOSS OF MEMBRANE POTENTIAL,,,31567
404,104198512,,Inactive,,,DRSC18720,mito clumps with cell rounding,CELL DEATH WITH MITO CLUMPS,,,31558
405,104198536,,Inactive,,,DRSC18744,MITO CLUMPS WTIH CELL DEATH,,,,44505
406,104198537,,Inactive,,,DRSC18745,mito clumps,CELL DEATH WITH MITO CLUMPS,,,31665
407,104198574,,Inactive,,,DRSC18782,mito clumps with cell death,MITO CLUMPS WITH CELL DEATH,,,31227
408,104198591,,Active,3,,DRSC18799,cell death,CELL DEATH WITH MITO CLUMPS,,,44885
409,104198593,,Inactive,,,DRSC18801,puncta,,,,43856
410,104198602,,Inactive,,,DRSC18810,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,31778
411,104198611,,Inactive,,,DRSC18819,mito clumps with cell death,MITO CLUMPS WITH CELL DEATH,,,44889
412,104198652,,Inactive,,,DRSC18860,CELL DEATH WITH MITO CLUMPS,,,,
413,104198678,,Inactive,,,DRSC18886,cell death with mito clumps,cell death with mito clumps,MITO CLUMPS WITH CELL DEATH,CELL DEATH WITH MITO CLUMPS,
414,104198687,,Inactive,,,DRSC18895,CELL DEATH WITH MITO CLUMPS,,,,32083
415,104198745,,Inactive,,,DRSC18953,mito clumps with cell deth,CELL DEATH WITH MITO CLUMPS,,,
416,104198755,,Inactive,,,DRSC18963,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,
417,104198791,,Inactive,,,DRSC18999,mito clumps,CELL DEATH WITH MITO CLUMPS,,,
418,104198793,,Inactive,,,DRSC19001,mito clumps with cell death,CELL DEATH WITHMITO CLUMPS,,,318111
419,104198821,,Inactive,,,DRSC19029,mito clumps with cell death,,,,
420,104198875,,Inactive,,,DRSC19083,mito clumps,CELL DEATH WITH MITO CLUMPS,,,
421,104198910,,Inactive,,,DRSC19118,CELL DEATH WITH MITO CLUMPS,,,,
422,104199000,,Inactive,,,DRSC19208,CELL DEATH WITH MITO CLUMPS,,,,
423,104199006,,Inactive,,,DRSC19214,mito clumps with cell death,CELL DEATH WTIH MITO CLUMPS,,,32780
424,104199037,,Inactive,,,DRSC19245,CELL DEATH WITH MITO CLUMPS,,,,
425,104199059,,Inactive,,,DRSC19267,mito clumps with cell death,MITO CLUMPS,,,
426,104199061,,Inactive,,,DRSC19269,MITO CLUMPS,,,,
427,104199116,,Inactive,,,DRSC19324,mito clumps with cell death,CELL DEATH WITH MITO CLUMPS,,,
428,104199127,,Inactive,,,DRSC19335,cell death,CELL DEATH,,,32723
429,104199142,,Inactive,,,DRSC19350,mito clumps,MITO CLUMPS,,,32846
430,104199218,,Inactive,,,DRSC19426,clumps,,,,32071
431,104199227,,Inactive,,,DRSC19435,perinuclear,,,,32318
432,104199233,,Active,3,,DRSC19441,MITO CLUMPS WITH CELL DEATH,,,,32936
433,104199250,,Inactive,,,DRSC19458,mito clumps,CELL DEATH MITO CLUMPS ASSOICIATED WITH CELL SHAPE CHANGE,,,
434,104199287,,Inactive,,,DRSC19495,clumps,,,,32225
435,104199288,,Inactive,,,DRSC19496,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,32183
436,104199347,,Inactive,,,DRSC19555,cell death,CELL DEATH,,,32939
437,104199429,,Inactive,,,DRSC19637,mito clumps with cell death,CELL DEATH DECREASED FLUORESCENCE,,,
438,104199444,,Inactive,,,DRSC19652,CELL DEATH,,,,32024
439,104199453,,Inactive,,,DRSC19661,cell death with mito clumps,,,,
440,104199464,,Inactive,,,DRSC19672,mito clumps with some cell death,CELL DEATH WITH MITO CLUMPS,,,32561
441,104199498,,Inactive,,,DRSC19706,cell death with mito clumps,CELL DEATH WITH MITO CHANGES,,,32139
442,104199510,,Inactive,,,DRSC19718,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,32306
443,104199655,,Inactive,,,DRSC19863,cell death with mito clumps,,,,32188
444,104199694,,Inactive,,,DRSC19902,mito clumps,,,,32613
445,104199748,,Inactive,,,DRSC19956,cell death with some mito clumps,,,,32442
446,104199759,,Inactive,,,DRSC19967,cell death with mito clumps,CELL DEATH MITO CLUMPS,,,32754
447,104199915,,Inactive,,,DRSC20123,mito clumps with cell death,CELL DEATH DECREASED FLOURESCENCE,,,32698
448,104199999,,Inactive,,,DRSC20207,CELL DEATH WITH CELL SHAPE CHANGE,,,,32636
449,104200023,,Inactive,,,DRSC20231,mito clumps,MITO CLUMPS,,,32221
450,104200066,,Inactive,,,DRSC20274,cell death with mito clumps,,,,32674
451,104200075,,Inactive,,,DRSC20283,cell death,CELL DEATH ROUNDING OF CELLS,,,32047
452,104200080,,Inactive,,,DRSC20288,cell death,CELL DEATH WITH MITO CLUMPS,,,32225
453,104200090,,Inactive,,,DRSC20298,mito clumps,,,,32541
454,104200107,,Inactive,,,DRSC20315,cell death,CELL DEATH,,,117294
455,104200133,,Inactive,,,DRSC20341,cell death,CELL DEATH,,,32661
456,104200156,,Inactive,,,DRSC20364,CELL DEATH,,,,44072
457,104200159,,Inactive,,,DRSC20367,CELL DEATH WITH MITO CLUMPS,,,,32406
458,104200160,,Active,3,,DRSC20368,cell death with mito clumps,CELL SHAPE ASSOCIATED MITO CHANGES,,,43944
459,104200243,,Inactive,,,DRSC20451,mito clumps,MITO CLUMPS WITH CELL DEATH,,,
460,104200265,,Inactive,,,DRSC20473,some cell death with mito clumps,MITO CLUMPS WITH CELL DEATH,,,"3772393,318064"
461,104200318,,Inactive,,,DRSC20526,cell death,MITO CLUMPS WITH CELL DEATH,,,33051
462,104200472,,Inactive,,,DRSC20680,mito clumps with some cell death,,,,33012
463,104201038,,Inactive,,,DRSC21246,mito clumps wtih some cell death,,,,"48581,44920"
464,104201039,,Inactive,,,DRSC21247,mito clumps,,,,"48582,44921,48583,50022"
465,104201040,,Inactive,,,DRSC21248,mito clumps,,,,"48582,44921,48583,50022"
466,104201056,,Inactive,,,DRSC21264,cell death,,,,"3771837,3772139,3772351,3772606,3772556,3772066,3772649,3772061,3771845,3771994,3772217,3772360,3771774,3771841,3772448,3771972,3772440,3772148,3772278,3772660,318855,3772647,3772541,3772675,3771842,3771785,3771863,3772346,3772071,3772699,3772282,3772345,3771783,3772631,3772353,3772632,3772505,3772565,3772447,3772618"
467,104201059,,Inactive,,,DRSC21267,cell death,CELL DEATH,,,"3772198,3772231,3771959,3772189,3772489,3772163,3772421,3772191,3771771,3772552,3772032,3772173,3771729,3772607,3772517,3772374,318847,3772619,3772370,3772518,3771792,3771723,3772149"
468,104201118,,Inactive,,,DRSC21339,mito clumps with cell death,,,,
469,104201140,,Inactive,,,DRSC21369,mito clumps with cell death,CELL DEATH WITH SOME MITO CLUMPS,,,3346208
470,104201145,,Inactive,,,DRSC21374,mito clumps with some cell death,MITO CLUMPS WITH SOME CELL DEATH,,,33957
471,104201288,,Inactive,,,DRSC21578,MITO CLUMPS WITH SOME CELL DEATH,,,,45970
472,104201291,,Inactive,,,DRSC21583,cell death with mito fragmentation decreased fluorescence,POOR PLATING HARD TO DISTINGUISH,,,39153
473,104201393,,Inactive,,,DRSC21721,mito clumps,,,,32994
474,104201474,,Inactive,,,DRSC21822,mito clumps with cell death,MITO CLUMPS WITH SOME CELL DEATH,,,
475,104201630,,Inactive,,,DRSC22054,CELL DEATH,,,,"50060,42691"
476,104201671,,Inactive,,,DRSC22110,cell death with mito clumps,POOR PLATING HARD TO DISTINGUISH,,,40451
477,104201696,,Inactive,,,DRSC22145,Cell death with mito clumps,CELL DEATH,,,33214
478,104201726,,Inactive,,,DRSC22183,cell death with mito clumps,CELL DEATH WITH SOME MITO CLUMPS,,,35184
479,104201752,,Active,3,,DRSC22218,cell death with mito clumps,POOR PLATING,,,37888
480,104201763,,Inactive,,,DRSC22236,cell death,CELL DEATH,,,35738
481,104201781,,Inactive,,,DRSC22257,mito clumps,CELL DEATH WITH MITO CLUMPS,,,318978
482,104201787,,Inactive,,,DRSC22266,mito clumps with some cell death,CELL DEATH,,,37679
483,104201789,,Inactive,,,DRSC22269,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,"8674057,31162"
484,104201824,,Inactive,,,DRSC22323,cell death with mito clumps,,,,38794
485,104201827,,Inactive,,,DRSC22326,CELL DEATH WITH MITO CLUMPS,,,,35813
486,104201946,,Inactive,,,DRSC22492,mito clumps,CELL DEATH WITH MITO CLUMPS,,,37780
487,104201954,,Inactive,,,DRSC22502,cell shape associated mito changes with cell death,CELL DEATH WITH MITO CLUMPS,,,318020
488,104202007,,Inactive,,,DRSC22585,cell death with mito clumps,CELL DEATH WITH MITO CLUMPS,,,42191
489,104202024,,Inactive,,,DRSC22609,mito clumps,CELL DEATH WITH MITO CLUMPS,,,32221
490,104202026,,Inactive,,,DRSC22612,mito clumps,,,,41363
491,104202039,,Inactive,,,DRSC22629,mito clumps,CELL DEATH WITH MITO CLUMPS,,,42463
492,104202053,,Inactive,,,DRSC22650,cell shape change and mito clumps,CELL DEATH WITH MITO CLUMPS,,,35184
493,104202056,,Inactive,,,DRSC22656,Mito clumps,CELL DEATH WITH MITO CLUMPS,,,31991
494,104202147,,Inactive,,,DRSC22788,cell death with mito clumps,CELL DEATH,,,39569
