PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W590-Activity_Score,W590-Curve_Description,W590-Fit_LogAC50,W590-Fit_HillSlope,W590-Fit_R2,W590-Fit_InfiniteActivity,W590-Fit_ZeroActivity,W590-Fit_CurveClass,W590-Excluded_Points,W590-Max_Response,W590-Activity at 0.0005898618 uM,W590-Activity at 0.00295 uM,W590-Activity at 0.015 uM,W590-Activity at 0.033 uM,W590-Activity at 0.074 uM,W590-Activity at 0.165 uM,W590-Activity at 0.369 uM,W590-Activity at 0.825 uM,W590-Activity at 1.843 uM,W590-Activity at 4.120 uM,W590-Activity at 9.217 uM,W590-Activity at 20.60 uM,W590-Activity at 46.08 uM,W590-Activity at 92.17 uM,Ratio-Activity_Score,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0005899000 uM,Ratio-Activity at 0.00295 uM,Ratio-Activity at 0.015 uM,Ratio-Activity at 0.033 uM,Ratio-Activity at 0.074 uM,Ratio-Activity at 0.165 uM,Ratio-Activity at 0.369 uM,Ratio-Activity at 0.824 uM,Ratio-Activity at 1.843 uM,Ratio-Activity at 4.122 uM,Ratio-Activity at 9.217 uM,Ratio-Activity at 20.61 uM,Ratio-Activity at 46.08 uM,Ratio-Activity at 92.17 uM,W535-Activity_Score,W535-Curve_Description,W535-Fit_LogAC50,W535-Fit_HillSlope,W535-Fit_R2,W535-Fit_InfiniteActivity,W535-Fit_ZeroActivity,W535-Fit_CurveClass,W535-Excluded_Points,W535-Max_Response,W535-Activity at 0.0005898618 uM,W535-Activity at 0.00295 uM,W535-Activity at 0.015 uM,W535-Activity at 0.033 uM,W535-Activity at 0.074 uM,W535-Activity at 0.165 uM,W535-Activity at 0.369 uM,W535-Activity at 0.825 uM,W535-Activity at 1.843 uM,W535-Activity at 4.120 uM,W535-Activity at 9.217 uM,W535-Activity at 20.60 uM,W535-Activity at 46.08 uM,W535-Activity at 92.17 uM,Compound QC
400,17389061,74189,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944045-01/37857024,,Inactive,,,,0,,,,,,,4,,6.3749,4.619,13.2072,-2.7838,12.2767,0.8162,10.5536,3.8993,3.0836,2.1372,10.7909,3.0808,9.9704,8.1726,6.3749,10,,,,,,,4,,0.3369,3.8035,9.3168,0.3146,6.2757,0.3129,10.9866,6.0975,1.5916,0.7604,10.6964,3.3968,5.0451,4.7361,0.3369,10,,,,,,,4,,0.8675,2.072,2.7925,1.7365,4.0575,0.9448,-0.2948,2.2384,3.2481,2.9947,1.5309,0.9185,2.7627,2.344,0.8675,QC'd by NIEHS/NTP
401,17389062,75969,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944379-01/37856868,,Inactive,,,,0,,,,,,,4,,5.05,0.0248,-3.0944,-3.0776,10.9755,5.702,0.1314,-3.3983,-8.4211,0.9549,5.4581,0.2362,11.5988,5.5032,5.05,10,,,,,,,4,,0.0851,-7.0948,-9.2914,-9.5787,2.7809,0.9772,-1.6277,-10.0366,-12.1905,-1.3579,-7.82,-8.8721,0.8364,-1.1032,0.0851,10,,-5.75,4.9549,0.8239,4.5,-1.0414,4,1 0 0 0 1 0 0 0 0 0 0 0 0 0,2.9961,4.6391,-0.4155,-0.3945,0.4178,2.9955,-1.7012,-1.4047,-1.5058,1.7201,6.507,3.2451,6.0407,3.31,2.9961,QC'd by NIEHS/NTP
402,17389063,9217,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07985331-01/37856276,,Inactive,,,,0,,-4.55,3.9295,0.6008,-20.3744,1.5,4,0 0 0 0 0 0 1 1 0 0 0 0 0 1,-7.784,-3.7363,9.6147,6.2231,0.5878,-5.7213,0.3686,-8.8208,12.0454,-3.3926,6.2446,3.1758,-4.2262,-17.3953,-7.784,10,,-4.4251,4.9549,0.41,-21.4934,-0.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,-4.8878,-6.4899,6.1774,2.4393,0.2522,-8.3991,0.3489,-8.7206,8.1267,-4.1447,3.276,0.6198,-0.1981,-16.2445,-4.8878,10,,,,,,,4,,0.5854,0.3166,1.1825,1.0563,-0.358,0.1798,0.5447,-1.5284,1.3331,-1.7466,-0.5609,-0.5104,-0.8907,-1.1427,0.5854,QC'd by NIEHS/NTP
403,17389064,8689,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08013606-01/37857012,,Inhibitor,42.1632,26.2585,,0,Partial curve; partial efficacy; poor fit,-4.35,1.21,0.8763,-71.4623,-6.1652,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-54.4142,-6.1813,-12.1121,-13.5587,-12.2154,7.2376,-3.2444,-3.942,-8.6215,-8.5026,-6.5702,-19.6439,-24.9262,-35.3956,-54.4142,0,Partial curve; partial efficacy; poor fit,-4.3751,1.331,0.7771,-28.7585,-2.5,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-22.7154,-0.0905,-6.3242,-7.3032,-7.7152,3.5522,-3.2623,2.2446,-2.0746,-1.4388,-3.9372,-5.6119,-10.6533,-14.5318,-22.7154,10,Partial curve; partial efficacy,-4.35,1.331,0.9662,-37.533,-2.3238,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-30.0275,-0.6865,-2.4898,-2.1142,-2.1358,-1.8669,-4.4164,-1.8817,-3.5838,-2.2927,-4.8481,-8.4043,-10.6875,-17.4599,-30.0275,QC'd by NIEHS/NTP
404,17389065,2723951,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07981164-01/37857487,,Inactive,,,,0,,,,,,,4,,-7.7203,-2.8867,-4.0873,7.7364,2.8504,-6.6202,-6.1258,1.7932,-2.4795,-8.3924,3.8406,-3.9363,-8.1565,-9.9543,-7.7203,10,,,,,,,4,,-0.8484,-1.9862,-3.0538,7.0808,-0.5565,-5.8402,-5.2688,-1.6639,-2.5082,-6.8952,1.3093,-0.2444,-4.847,-4.8349,-0.8484,10,,,,,,,4,,1.0967,-0.7573,-1.5865,-0.9731,-1.7001,-2.279,-2.959,0.6833,-0.0601,-0.4521,-0.6007,-3.1966,-0.1459,0.4089,1.0967,QC'd by NIEHS/NTP
405,17389066,8344,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07930218-01/37857161,,Inactive,,,,0,,-4.4,4.9549,0.4856,-16.6781,2.5,4,1 1 0 0 0 0 0 0 0 0 0 0 0 1,9.0249,-6.9555,8.0511,8.013,-1.9454,-2.0003,6.0412,-1.8267,3.661,5.6265,5.1074,-3.1554,4.4174,-10.5651,9.0249,10,,-4.4251,4.9549,0.7248,-19.9955,2.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1.9784,-1.0513,8.4534,5.0938,-1.8966,1.8938,2.9455,-2.0441,2.3687,4.5703,3.4108,1.1799,2.314,-14.9962,1.9784,10,,-4.9,4.9549,0.4316,3,-1.0289,4,1 1 0 0 0 0 0 0 0 0 0 0 0 0,3.8974,-3.4013,-4.8467,-0.9396,-0.3483,-0.8455,0.2835,1.7035,-3.3574,-1.6681,-0.7585,-1.3512,5.4076,-0.5314,3.8974,QC'd by NIEHS/NTP
406,17389067,5273621,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB13681004-01/37856735,,Inactive,,,,0,,-4.45,4.9549,0.7566,-21.6958,8,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-20.9965,2.7328,10.3096,1.3258,13.6001,17.3366,5.3677,-2.0651,3.2594,10.0368,10.2159,8.8339,13.2299,-16.8693,-20.9965,10,,-4.3751,4.9549,0.6399,-11.5471,9.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-10.0393,6.8519,9.0061,6.0697,12.8474,18.7153,7.394,2.6894,4.1448,9.7212,11.2786,6.6381,17.265,-5.5469,-10.0393,10,,-4.5,2.2481,0.9503,-19.6932,0.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-18.4943,0.1382,1.681,-1.6695,0.7119,0.7663,0.091,1.0613,-0.5888,3.6023,0.1768,1.6399,-6.3793,-13.1093,-18.4943,QC'd by NIEHS/NTP
407,17389068,23668196,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944414-01/37856683,,Inactive,,,,0,,,,,,,4,,2.8709,11.4095,0.399,9.4332,-2.781,10.0761,8.5883,-1.7153,8.4685,1.6278,-8.0634,6.4534,3.8269,0.1968,2.8709,10,,,,,,,4,,1.1409,7.5335,-0.9091,4.935,-0.3425,7.6928,5.0829,-0.3027,7.0637,-0.0281,-11.333,0.7046,0.6149,0.0626,1.1409,10,,-4,1,0.7849,14,1.2645,4,0 0 0 1 0 0 0 0 0 0 1 0 0 0,8.7115,2.0585,1.7301,3.099,-2.4694,0.7737,2.145,-0.1962,1.3293,1.0393,2.1317,7.8894,3.0222,3.7978,8.7115,QC'd by NIEHS/NTP
408,17389069,6537501,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB13681016-01/37857044,,Inactive,,,,0,,,,,,,4,,-0.8623,9.0579,5.2149,13.252,-4.9754,6.4663,1.3067,8.0436,4.2296,1.2208,6.3839,3.5589,12.905,8.3625,-0.8623,10,,,,,,,4,,-6.741,7.0706,2.7575,9.1284,-4.2887,6.5099,0.6002,10.3436,0.398,-0.6289,5.182,1.1287,4.5359,1.1867,-6.741,10,,,,,,,4,,1.6009,2.55,1.911,3.2548,1.2014,0.4879,1.0886,1.027,2.561,2.841,1.0839,1.8233,2.6709,2.9775,1.6009,QC'd by NIEHS/NTP
409,17389070,7044,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB02509380-01/37857042,,Inactive,,,,0,,-8,0.4,0.5081,2.5249,23,4,0 0 1 1 0 0 0 0 0 0 0 0 0 1,9.9946,18.1701,16.4083,3.911,22.032,5.8953,10.3533,-0.2674,3.557,15.6228,3.2953,3.1352,-2.4792,7.2379,9.9946,10,,-7.4751,1.6266,0.5199,1.1377,16.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,6.8643,14.4141,20.4653,6.6076,15.9098,1.4419,1.9393,-5.7186,-5.5229,11.3806,-0.5321,1.0354,-3.8796,6.6606,6.8643,10,,-6.8,3.9295,0.6277,2.5,-2.1811,4,0 0 0 1 0 0 0 1 0 0 0 0 0 0,3.197,0.9075,-4.7342,-3.193,3.1419,-1.3739,0.081,4.7666,8.7181,2.5757,0.0831,2.1323,2.6512,1.5591,3.197,QC'd by NIEHS/NTP
410,17389071,159055,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB02509320-01/37856720,,Inactive,,,,0,,,,,,,4,,10.4206,3.4125,4.5432,3.629,1.5919,-3.7098,1.3755,-8.235,-2.3013,-9.7352,12.7768,-1.0825,7.1434,7.1645,10.4206,10,,,,,,,4,,1.4904,3.1475,5.7988,7.202,0.0173,-1.3632,-4.2708,-11.4956,0.2071,-4.9195,15.6572,-1.1363,1.2698,0.0531,1.4904,10,,,,,,,4,,-2.045,-0.4854,-0.494,-2.5446,2.9439,-1.0683,4.3703,6.0791,-1.7407,-1.7441,-0.2897,1.384,-0.4055,3.0662,-2.045,QC'd by NIEHS/NTP
411,17389072,10788,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07930275-01/37857503,,Inactive,,,,0,,-4.45,3.6772,0.7296,-12.7441,-0.5,4,0 0 0 0 0 1 0 0 0 0 1 0 0 1,-0.5682,1.5133,-0.2,-1.7647,-1.2087,0.4345,6.322,-0.9158,-1.0979,2.2011,-3.8302,6.5398,-1.7758,-9.3701,-0.5682,10,,,,,,,4,,-0.1434,-0.5129,-5.9448,0.4554,-5.1518,-0.8116,0.3746,-9.2023,-5.4447,-0.2388,-8.0391,-0.4062,-2.8692,-12.0636,-0.1434,10,,-6.65,4.9549,0.6882,4.5,-2.0009,4,0 1 0 1 0 0 0 0 0 0 0 0 0 0,2.2467,-2.2749,5.9934,-2.0339,3.9688,0.2099,-2.9174,8.0439,4.0995,2.1541,5.552,3.8786,3.088,5.973,2.2467,QC'd by NIEHS/NTP
412,17389073,62770,Active,41,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08007549-01/37857630,,Inhibitor,5.9557,40.4652,,0,Complete curve; partial efficacy,-5.2,1.21,0.9702,-48.3949,2.906,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-46.5007,4.4868,0.4802,1.9705,-2.2624,4.7373,3.1711,3.4231,5.3795,-12.4112,-14.3521,-28.3935,-39.4895,-40.1333,-46.5007,0,Complete curve; partial efficacy,-5.2251,1.21,0.9793,-40.9652,-0.5,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-37.4737,0.4556,0.2234,0.897,-2.5106,-0.2993,-1.6453,-1.4596,-1.3609,-13.1459,-13.0627,-26.8622,-36.0991,-35.7976,-37.4737,10,,-4.95,4.9549,0.759,-3.6763,1,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-4.3136,0.7319,0.7103,0.2982,0.1548,2.1853,0.1083,2.3528,3.2731,1.24,0.1379,0.1127,-4.2559,-1.9473,-4.3136,QC'd by NIEHS/NTP
413,17389074,18283,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB02509573-01/37856845,,Inactive,,,,0,,-6.45,0.8,0.7676,17,4,4,0 0 0 0 0 0 0 0 0 0 1 1 0 0,15.5832,0.1092,6.4419,9.3102,5.6431,5.561,7.9173,11.8364,8.0094,17.2272,17.6603,24.6606,3.6166,16.4166,15.5832,10,,-6.5751,1.1,0.4608,9.5,0.9211,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,7.3685,-1.3157,1.7448,5.5826,1.6165,-0.9988,3.8296,8.1119,3.9494,11.9486,12.8592,14.7502,0.6178,9.6501,7.3685,10,,,,,,,4,,1.107,0.7589,1.1889,0.5717,0.1422,4.2892,-0.5884,1.1555,0.5052,2.6184,2.7718,2.5537,-0.4472,0.4935,1.107,QC'd by NIEHS/NTP
414,17389075,83511,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08003920-01/37856837,,Activator,37.578,456.497,,0,Partial curve; high efficacy,-4.5,1.21,0.9968,359.144,1.4676,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,285.73,-0.9017,-2.5153,-9.8617,1.3415,3.3266,6.0071,5.656,6.6057,8.7699,34.6877,75.0986,127.866,216.844,285.73,0,Partial curve; high efficacy,-4.4251,1.2221,0.9946,459.832,3.335,2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,364.946,-1.7184,-1.6694,-6.5072,0.3809,7.2974,2.808,7.3458,8.5091,12.9025,38.9105,84.0138,146.941,247.762,364.946,10,,-4.25,1.3443,0.8314,-18.6255,-1,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-13.8546,-0.8605,0.6685,-2.3275,-0.2959,-3.9581,2.3812,0.3342,-1.1485,-2.3338,-1.4513,-2.4058,-5.9726,-6.6414,-13.8546,QC'd by NIEHS/NTP
415,17389076,6731,Active,63,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB02540602-01/37857356,,Inhibitor,1.6785,51.179,,0,Complete curve; partial efficacy,-5.85,1.1,0.9557,-53.7253,1.7014,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-55.9342,5.9628,-1.0589,-5.5037,10.0373,-1.3906,-4.6408,-11.0212,-14.5564,-29.212,-49.3248,-39.8524,-51.0758,-50.4037,-55.9342,0,Complete curve; partial efficacy,-5.7751,1.6266,0.9659,-47.6088,3.5702,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-54.7304,3.8659,2.5352,1.9881,3.7269,2.6527,1.7486,-1.9159,-2.888,-23.9365,-45.5616,-35.7456,-43.8697,-45.9789,-54.7304,10,,-4.6,0.6,0.8679,-20.5899,-0.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-15.4916,0.6418,-0.649,-2.4926,1.1591,0.4755,-2.0489,0.0029,-6.5433,-3.9978,-7.084,-4.076,-10.5776,-11.822,-15.4916,QC'd by NIEHS/NTP
416,17389077,6537500,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB13681028-01/37857583,,Inactive,,,,0,,,,,,,4,,6.2419,5.9589,-8.9802,-3.9329,-13.9077,8.1163,13.6769,1.4979,5.8248,-1.6825,5.6162,-3.3421,14.678,12.0924,6.2419,10,,-7.2751,4.9549,0.4556,2.5,-6.5519,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.0601,0.5497,-9.726,-2.0734,-15.0433,4.0281,8.4545,-0.2811,0.9722,-0.6825,3.2459,-0.3908,5.8343,5.4805,-0.0601,10,,,,,,,4,,2.852,0.8656,-1.7875,-0.6515,0.2337,-0.5946,0.0161,1.13,0.1007,-4.6798,-0.0589,-2.8403,-0.365,1.6671,2.852,QC'd by NIEHS/NTP
417,17389078,22420,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08548259-01/37857465,,Inactive,,,,0,,-4.85,4.9549,0.7412,9.5,-1.9111,4,0 1 0 0 0 0 0 0 0 0 0 0 0 1,3.3054,-3.7795,-12.4417,0.8528,-0.2164,0.424,-4.8574,-2.6418,-4.9259,-1.6053,1.7978,-3.3614,9.6385,8.0504,3.3054,10,,,,,,,4,,-0.2669,3.8974,-5.6378,6.5984,4.2649,5.783,3.8914,3.5298,0.3578,3.6837,5.5862,0.1115,7.3187,7.6524,-0.2669,10,,,,,,,4,,-0.6327,-1.599,-1.2376,-0.9858,-0.6596,0.3212,-1.1713,1.6355,-0.201,0.2966,0.0081,0.3867,0.3916,-1.2113,-0.6327,QC'd by NIEHS/NTP
418,17389079,7298,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944127-01/37856694,,Inactive,,,,0,,,,,,,4,,0.3468,0.6096,4.8636,-1.0494,-10.3321,8.5377,5.322,13.0497,-2.01,4.7695,-4.2532,-0.9935,-5.3064,0.1663,0.3468,10,,,,,,,4,,-1.0791,0.4501,0.7341,0.8705,-11.8668,2.0682,0.6779,11.2826,-7.6704,0.634,-9.0056,-0.532,-7.8232,0.3681,-1.0791,10,,,,,,,4,,2.9056,-0.3059,0.4713,-0.8848,-2.1248,0.1851,0.3679,-1.8094,1.9118,-1.5701,-0.5421,0.4857,2.6704,1.9287,2.9056,QC'd by NIEHS/NTP
419,17389080,9253,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08548300-01/37856303,,Inactive,,,,0,,,,,,,4,,-4.6768,-5.5602,-1.4991,7.7582,2.8719,-5.3706,2.9945,7.6904,-11.0929,5.5354,5.0467,2.3288,-5.2838,-0.863,-4.6768,10,,,,,,,4,,0.3171,-8.2746,-3.1759,1.0357,0.322,-9.4419,-0.7747,-0.2432,-13.7034,0.3453,1.4903,0.609,-4.4528,1.0226,0.3171,10,,,,,,,4,,-2.0399,-0.6364,-3.0595,-0.9859,-3.1423,-0.4475,-1.9611,0.3234,-1.2189,-1.25,-0.0065,-3.0297,-3.37,-2.4421,-2.0399,QC'd by NIEHS/NTP
420,17389081,18502,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944064-01/37856842,,Inactive,,,,0,,,,,,,4,,-4.2909,-6.1576,-17.4269,-0.0048,-10.3511,-9.3563,0.4035,-16.0635,-11.4335,-11.3228,-2.2413,-9.6795,-2.8732,-0.4575,-4.2909,10,,,,,,,4,,-0.7219,-0.3491,-11.4428,-2.9781,-2.921,-1.1581,-0.8514,-8.5083,-5.4534,-2.6913,-0.6243,-2.87,-3.2395,2.0927,-0.7219,10,,,,,,,4,,1.1765,-0.7839,-3.1742,-1.5735,-3.5038,-2.3488,-1.9691,-2.7968,-1.5529,-4.7371,-1.2973,-1.411,-1.266,-2.3037,1.1765,QC'd by NIEHS/NTP
421,17389082,6197,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944719-01/37857087,,Inactive,,,,0,,-6.8,3.0654,0.9179,-12.3482,2,4,1 0 0 0 0 0 0 0 0 0 0 0 0 0,-13.9956,-6.6489,-0.326,3.0252,3.028,0.3405,-5.6379,-12.1109,-10.7172,-7.6038,-13.0301,-11.4503,-14.8735,-13.4782,-13.9956,10,,-6.6751,1.9673,0.8391,-12.1661,-1,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-10.5458,-6.6164,0.6704,0.2269,-0.473,-0.6483,-5.3541,-10.4536,-9.0174,-10.3233,-15.1384,-11.3799,-13.3879,-12.7508,-10.5458,10,,,,,,,4,,0.9292,-0.2787,-0.6076,1.39,0.8588,1.3197,0.4901,-0.706,0.102,3.4594,1.6752,1.592,1.6771,1.4445,0.9292,QC'd by NIEHS/NTP
422,17389083,6197,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944128-01/37856640,,Inactive,,,,0,,-6.45,1,0.9086,-9.891,1.5,4,1 0 0 0 0 0 0 0 0 0 1 0 0 1,-0.0465,-10.1219,1.7397,1.4048,-0.1526,-1.5509,0.2613,-6.8188,-4.9856,-7.4793,-10.7425,6.5703,-8.8534,-9.5676,-0.0465,10,,,,,,,4,,-2.7009,-5.7828,4.4039,0.3069,4.4079,0.5064,0.3548,-2.796,-4.7318,-5.1836,-10.4338,6.1663,-7.8162,-9.2884,-2.7009,10,,,,,,,4,,0.4474,-2.9627,-1.941,0.0252,-3.3803,-2.6434,-1.4323,-0.4229,0.383,-0.023,0.5685,-0.7384,-1.4322,-0.1643,0.4474,QC'd by NIEHS/NTP
423,17389084,9246,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB02540543-01/37856556,,Inactive,,,,0,,,,,,,4,,2.4054,5.9892,5.9997,7.9435,12.8904,11.883,2.1928,9.7456,2.2618,5.3867,10.7934,4.4717,6.2597,6.0353,2.4054,10,,,,,,,4,,0.6273,5.9463,5.8398,5.2563,4.0104,7.4192,0.5987,6.3654,-0.4606,4.04,8.0809,1.167,6.7608,2.813,0.6273,10,,-6.75,0.2,0.7221,7.5,-4.528,4,0 0 0 1 0 0 0 0 1 0 0 0 0 0,5.8187,-2.1067,-1.0227,1.5006,4.4721,1.0785,0.7783,2.1106,2.0319,0.185,3.1119,5.1627,0.699,5.5672,5.8187,QC'd by NIEHS/NTP
424,17389085,13610,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944789-01/37856506,,Inactive,,,,0,,,,,,,4,,1.346,-3.9269,4.8968,-1.9563,2.1556,-2.1368,0.3744,-0.5809,2.9261,-6.102,-16.1959,7.1887,0.237,6.2827,1.346,10,,,,,,,4,,1.7824,-3.1876,2.9745,0.2698,0.2921,-3.0893,0.9241,-0.4268,0.2304,-3.6714,-10.8849,4.9256,0.9618,4.3636,1.7824,10,,-4.25,4.4495,0.7021,-5.0314,-0.5,4,1 0 0 0 0 0 0 0 0 1 0 0 0 0,-4.6095,-1.6277,0.2687,-0.2216,-0.8197,0.7059,-2.0607,-0.746,0.8151,-0.9664,-2.129,0.208,0.1104,-1.9202,-4.6095,QC'd by NIEHS/NTP
425,17389086,7954,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07944036-01/37856546,,Inactive,,,,0,,,,,,,4,,9.7468,-1.9148,-0.1081,16.5048,11.3631,-3.4527,2.2581,-3.6753,8.4792,5.438,-2.9307,-1.0079,12.5183,2.4226,9.7468,10,,,,,,,4,,3.6234,6.9454,3.9836,9.0431,0.4652,4.718,6.4088,0.8057,-1.4478,2.7522,2.5031,2.1854,4.7685,2.1694,3.6234,10,,,,,,,4,,-3.4979,-4.2791,-2.9179,-1.3309,0.7135,-3.2108,-2.881,0.4579,-1.5108,-3.4405,-1.9395,-1.4343,-4.9796,-4.2102,-3.4979,QC'd by NIEHS/NTP
426,17389087,969516,Active,84,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB02540564-01/37856934,,Inhibitor,5.9557,103.858,,0,Complete curve; high efficacy,-5.2,1.6266,0.9788,-103.1,7.9137,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-95.3373,-0.5965,0.8649,4.9771,15.0542,9.3268,17.716,1.786,-0.1014,-1.1802,-21.7234,-70.4745,-85.773,-94.3167,-95.3373,0,Complete curve; high efficacy,-5.2251,2.2526,0.9953,-102.251,1.6068,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-102.106,-2.264,-0.0198,-2.2869,2.3101,4.4617,3.3179,0.6153,1.0398,1.1053,-29.1473,-77.9924,-92.4554,-102.662,-102.106,10,Partial curve; partial efficacy,-4.4,1.4163,0.9604,-39.9033,-0.5,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-33.2528,0.3947,-0.906,-3.6154,1.0846,1.2513,1.2949,0.363,-1.278,-3.7849,-0.8067,-6.1474,-11.3353,-18.8317,-33.2528,QC'd by NIEHS/NTP
427,17389088,6629,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB08548266-01/37857164,,Inactive,,,,0,,-4.05,0.4,0.6484,22,-0.9656,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,15.0572,-1.4882,-2.2328,-1.0361,1.7715,2.3858,1.4635,-4.138,3.6061,6.2893,4.8551,3.6429,7.374,3.8754,15.0572,10,,-6.1751,4.9549,0.3754,4,0.3866,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,4.7258,0.8713,-0.2609,0.7337,0.4061,2.2135,1.335,-3.4279,3.6083,7.4523,6.7026,2.1551,1.1661,0.2076,4.7258,10,,,,,,,4,,-1.9721,-0.9115,-0.8698,-0.419,-1.0721,1.243,-0.9884,-0.106,-0.5978,-0.5065,-1.0145,1.0079,-0.6887,-2.5314,-1.9721,QC'd by NIEHS/NTP
428,17389089,,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-5hr/AB07930249-01/37857426,,Inactive,,,,0,,-6.1,0.5,0.6915,18.5,0,4,1 1 0 0 0 0 0 0 0 0 0 0 0 0,16.7404,10.0614,11.0752,1.8845,2.5965,8.511,0.6881,8.5469,6.7444,16.045,15.9731,9.3407,11.8127,20.1806,16.7404,10,,,,,,,4,,-2.2296,3.7183,-1.9626,-2.3034,0.4218,0.9604,-2.5012,-2.4146,2.2518,4.8092,2.4624,0.4862,1.7413,0.5231,-2.2296,10,,,,,,,4,,3.5036,2.4915,1.1477,0.5447,-0.8094,3.423,-0.3566,0.4509,0.0673,-1.3135,1.2723,3.45,1.9987,4.1351,3.5036,
