PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W590-Activity_Score,W590-Curve_Description,W590-Fit_LogAC50,W590-Fit_HillSlope,W590-Fit_R2,W590-Fit_InfiniteActivity,W590-Fit_ZeroActivity,W590-Fit_CurveClass,W590-Excluded_Points,W590-Max_Response,W590-Activity at 0.0005899000 uM,W590-Activity at 0.00295 uM,W590-Activity at 0.015 uM,W590-Activity at 0.033 uM,W590-Activity at 0.074 uM,W590-Activity at 0.165 uM,W590-Activity at 0.369 uM,W590-Activity at 0.824 uM,W590-Activity at 1.843 uM,W590-Activity at 4.122 uM,W590-Activity at 9.217 uM,W590-Activity at 20.61 uM,W590-Activity at 46.08 uM,W590-Activity at 92.17 uM,Ratio-Activity_Score,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0005899000 uM,Ratio-Activity at 0.00295 uM,Ratio-Activity at 0.015 uM,Ratio-Activity at 0.033 uM,Ratio-Activity at 0.074 uM,Ratio-Activity at 0.165 uM,Ratio-Activity at 0.369 uM,Ratio-Activity at 0.824 uM,Ratio-Activity at 1.843 uM,Ratio-Activity at 4.122 uM,Ratio-Activity at 9.217 uM,Ratio-Activity at 20.61 uM,Ratio-Activity at 46.08 uM,Ratio-Activity at 92.17 uM,W535-Activity_Score,W535-Curve_Description,W535-Fit_LogAC50,W535-Fit_HillSlope,W535-Fit_R2,W535-Fit_InfiniteActivity,W535-Fit_ZeroActivity,W535-Fit_CurveClass,W535-Excluded_Points,W535-Max_Response,W535-Activity at 0.0005898618 uM,W535-Activity at 0.00295 uM,W535-Activity at 0.015 uM,W535-Activity at 0.033 uM,W535-Activity at 0.074 uM,W535-Activity at 0.165 uM,W535-Activity at 0.369 uM,W535-Activity at 0.825 uM,W535-Activity at 1.843 uM,W535-Activity at 4.120 uM,W535-Activity at 9.217 uM,W535-Activity at 20.60 uM,W535-Activity at 46.08 uM,W535-Activity at 92.17 uM,Compound QC
336,17388997,3397,Active,41,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08002009-01/115412571,,Inhibitor,42.1632,94.8212,,0,Partial curve; high efficacy,-4.4751,1.2475,0.9574,-92.8332,4.3323,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-81.4326,0.933,11.9221,4.6683,3.0031,8.1258,6.2637,4.1804,-2.7082,3.1846,-5.4495,-17.427,-23.886,-45.9151,-81.4326,0,Partial curve; high efficacy,-4.3751,1.6604,0.9534,-98.0863,-3.2651,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-86.0407,-1.4093,1.6103,-5.6878,-3.9776,0.8168,0.8128,1.2078,-10.0554,-0.6053,-9.1395,-20.349,-24.0214,-47.7891,-86.0407,10,,-4.25,1.21,0.741,-16.7408,1,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-10.6174,-0.4959,4.3565,5.3769,0.1939,-0.144,-1.1338,-1.0777,3.0125,2.4323,-2.2539,-0.9543,-2.158,-6.4964,-10.6174,QC'd by NIEHS/NTP
337,17388998,6446,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944413-01/115412912,,Inactive,,,,0,,,,,,,4,,-1.9899,1.0461,9.7276,9.0788,12.4302,8.5608,0.2954,13.3206,8.1918,-4.6013,14.1925,6.4162,-4.708,1.3473,-1.9899,10,,,,,,,4,,0.1371,-0.3873,2.5126,1.2904,1.794,0.2839,0.5597,3.0056,-1.8649,-10.8979,7.1505,2.9154,-2.2342,2.732,0.1371,10,,,,,,,4,,4.7844,1.1085,1.0624,1.3436,1.7131,2.3238,0.2221,1.5739,1.6393,0.175,0.9872,2.1509,0.3584,3.3375,4.7844,QC'd by NIEHS/NTP
338,17388999,24603,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944328-01/115413039,,Inactive,,,,0,,,,,,,4,,6.3317,10.8302,8.4273,-1.8264,5.5724,6.1854,3.9735,11.0299,5.9829,3.6354,3.4762,5.1555,5.7405,1.0276,6.3317,10,,-6.3751,4.9549,0.4533,5,0.2162,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,1.8763,-0.2621,1.2166,1.6236,6.7555,-3.4014,-3.5698,1.6547,5.2763,6.4766,6.15,3.2789,5.0457,4.2457,1.8763,10,,,,,,,4,,-0.459,-0.8114,-2.8734,-0.2508,-1.3898,0.04,-0.8604,-0.0425,1.8293,0.6549,-0.739,-2.4143,-1.7761,-3.0281,-0.459,QC'd by NIEHS/NTP
339,17389000,10008,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08082686-01/115413419,,Inactive,,,,0,,,,,,,4,,7.0137,9.1484,0.8823,1.6561,-2.0767,10.7914,3.1528,4.132,6.4191,13.3585,1.3711,4.5428,9.9535,-0.9633,7.0137,10,,,,,,,4,,0.9512,4.1611,-0.8146,-0.2897,-4.3303,2.3451,-0.3795,1.4888,0.1684,7.8431,-4.2097,0.8588,4.1092,-6.3061,0.9512,10,,,,,,,4,,1.4579,1.2445,-1.9368,-0.8664,-2.204,-0.4841,0.9272,-1.5146,3.4278,1.5643,1.0504,0.6339,0.2069,1.3745,1.4579,QC'd by NIEHS/NTP
340,17389001,9154,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944118-01/115412774,,Inconclusive,,,,0,,,,,,,4,,-3.3092,1.0496,4.7333,-1.6563,11.5164,10.4494,6.4256,2.9156,4.2658,11.0627,12.3651,2.6825,6.3131,1.3765,-3.3092,0,Partial curve; partial efficacy; poor fit,-4.1751,4.9549,0.7967,-28.2144,3,-2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-23.0953,0.2088,6.8446,0.3343,7.2499,8.721,5.4893,2.8407,4.2184,-3.5912,-2.229,3.9038,2.0451,-0.5282,-23.0953,10,,-4.35,1.8265,0.8092,9,0.48,4,0 0 0 0 0 0 0 0 0 0 0 0 1 0,7.1931,-0.0278,0.5617,-0.1903,2.0219,1.4455,-0.3108,0.9324,0.7747,1.1553,1.9143,-0.4334,2.3965,0.7524,7.1931,QC'd by NIEHS/NTP
341,17389002,7611,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07980905-01/115412264,,Inactive,,,,0,,-4.6751,0.4,0.6252,29,5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,22.9662,5.5633,10.5441,3.7645,3.1319,8.617,10.1117,17.5307,5.7708,6.1403,11.326,14.1803,20.2648,17.1441,22.9662,10,,,,,,,4,,5.2506,6.3301,0.3221,-3.2952,3.2569,-1.463,-1.2987,5.5691,5.7653,-2.0416,1.4097,-3.369,6.7906,4.7601,5.2506,10,,,,,,,4,,0.5285,-0.786,2.3927,1.8365,1.8068,1.4012,1.4374,3.8848,1.8793,1.3238,1.5223,5.4617,0.9042,0.274,0.5285,QC'd by NIEHS/NTP
342,17389003,25914,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08548308-01/115412594,,Inactive,,,,0,,,,,,,4,,-0.7305,-8.6718,-6.6913,-3.1081,-0.483,-11.2954,-10.2305,-11.267,-8.5779,-2.4722,-0.4821,0.122,-4.2937,-8.8487,-0.7305,10,,,,,,,4,,-3.7978,-7.7721,-4.8883,-0.1527,0.4063,-5.6904,-5.5995,-7.2291,-5.1389,-0.648,-1.82,-0.5795,-2.6222,-7.1215,-3.7978,10,,,,,,,4,,1.5237,-2.3738,-1.3255,-3.1371,-0.0687,-3.7026,-3.7417,-3.4937,-2.854,-2.4769,-1.3463,-3.4263,-2.8558,-3.0363,1.5237,QC'd by NIEHS/NTP
343,17389004,5365543,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08082674-01/115412471,,Inactive,,,,0,,,,,,,4,,12.3238,9.9798,6.6167,4.1167,8.3009,3.4183,9.8698,4.3347,9.2523,10.7914,-2.5149,7.3289,4.2975,12.6245,12.3238,10,,,,,,,4,,3.7799,0.2859,2.2834,1.0272,0.7689,-1.1421,1.0573,0.3921,2.1857,6.4711,-5.4736,1.4161,1.014,4.6851,3.7799,10,,,,,,,4,,1.7543,1.7238,0.889,-0.2738,2.2649,2.634,2.8398,0.5391,1.7409,0.6711,0.0301,3.6663,-0.5914,1.2416,1.7543,QC'd by NIEHS/NTP
344,17389005,8133,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB02509323-01/115412090,,Inactive,,,,0,,,,,,,4,,20.6436,8.9846,11.1686,18.8303,1.9669,5.66,4.6812,5.1923,15.6785,-0.1338,4.4587,5.2118,7.4628,3.2835,20.6436,10,,,,,,,4,,8.3035,4.9425,0.9945,7.7917,3.1108,3.1027,1.7466,-2.4001,5.2471,0.6613,-2.6652,1.8042,-2.2971,3.1689,8.3035,10,,,,,,,4,,2.1814,1.5733,2.4729,3.0661,-1.0076,1.2268,4.5121,2.7188,3.2074,1.6466,2.582,2.3723,2.8365,-1.2563,2.1814,QC'd by NIEHS/NTP
345,17389006,12375,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08548276-01/115412610,,Inactive,,,,0,,-8.1251,0.6,0.3496,-2,-12.9602,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,2.1298,-9.7173,-12.0502,-6.5622,-1.4035,-0.0235,-11.8634,-2.3161,0.2956,-4.0917,-7.2962,-0.8697,-0.3401,-5.4841,2.1298,10,,,,,,,4,,0.0608,-8.0646,-9.498,-6.0695,0.324,-2.4921,-10.0594,-5.9366,1.3946,-1.9027,-6.4183,-2.1062,-1.4972,-4.4576,0.0608,10,,,,,,,4,,-5.7869,-1.114,-2.0439,-2.2636,-2.7927,-1.7536,-2.3058,1.1875,-2.1213,-3.0708,-2.2391,-4.8338,-2.9555,-4.2435,-5.7869,QC'd by NIEHS/NTP
346,17389007,701,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944087-01/115412435,,Inactive,,,,0,,,,,,,4,,-3.1809,-9.4463,-3.6202,-10.4824,-2.3006,-0.4613,-15.4381,-18.5469,0.3501,-21.2105,-2.1563,3.7299,-4.6371,-0.7448,-3.1809,10,,-5.4251,4.9549,0.3736,1.5,-10.2891,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,0.8657,-7.9087,-7.1142,-11.7033,-2.8915,-0.934,-14.5644,-21.3587,-1.3976,-25.2409,-0.2646,3.1638,-1.7116,1.7142,0.8657,10,,,,,,,4,,-0.6689,-3.9337,0.3972,-1.8688,-1.6441,-3.6285,-1.5074,2.1359,-1.1538,-1.0808,-3.5017,-0.9247,-0.9931,-0.8237,-0.6689,QC'd by NIEHS/NTP
347,17389008,15394,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB02509516-01/115412679,,Inactive,,,,0,,,,,,,4,,0.37,-7.0917,3.7116,7.616,-3.094,-2.8886,10.1803,3.0459,2.5431,-1.8266,-7.928,8.2292,6.5243,-1.1754,0.37,10,,,,,,,4,,-1.7057,-5.1324,-0.14,2.525,-2.937,-6.3971,3.2325,2.116,0.3869,-1.6745,-9.2649,3.1473,1.8859,-5.6515,-1.7057,10,,,,,,,4,,-3.2324,-2.9377,2.5054,-0.3769,-1.6325,-2.507,-2.8563,-0.0026,0.0429,-2.1756,-1.6898,-1.746,-0.2015,1.3479,-3.2324,QC'd by NIEHS/NTP
348,17389009,6113,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07935968-01/115412162,,Inactive,,,,0,,,,,,,4,,-1.9624,-4.7185,-0.6171,-2.6175,3.1083,-7.8092,1.1552,-6.129,-3.3616,0.5255,-2.3163,-3.0808,-14.0778,-8.1912,-1.9624,10,,,,,,,4,,5.934,-1.6864,2.3742,-3.6508,2.9604,-3.1335,2.1246,-7.9427,-0.4936,0.7666,-1.4848,4.6322,-8.3119,-0.0807,5.934,10,,,,,,,4,,-0.5847,-2.0855,-1.439,1.2216,-1.7303,-4.9846,-1.2842,0.8045,-2.0179,-0.0824,1.4407,-1.1666,-1.0699,0.1044,-0.5847,QC'd by NIEHS/NTP
349,17389010,6371716,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944738-01/115412787,,Inactive,,,,0,,,,,,,4,,-14.7452,-0.365,-0.66,-7.337,-3.4436,-5.5834,-4.7749,3.6497,-7.8186,0.4809,-1.4826,0.5142,0.8471,-7.5557,-14.7452,10,,,,,,,4,,-14.026,-4.1876,-3.5977,-6.4212,-4.2005,-5.017,-5.2334,0.789,-7.4738,-2.4919,-3.9697,-3.7522,-0.7739,-7.5052,-14.026,10,,-4.3,3.1925,0.7809,-6.8813,-0.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-6.1511,0.7923,-0.3219,-1.4181,-0.9765,-1.5214,-1.4309,-0.2991,-1.6674,-0.1213,-0.4184,1.1768,-1.3131,-3.401,-6.1511,QC'd by NIEHS/NTP
350,17389011,81530,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944711-01/115412874,,Inactive,,,,0,,,,,,,4,,-1.6929,-7.1377,-5.6412,-1.0714,-2.6161,0.0438,-12.1089,-3.1687,-4.3616,-3.3231,-10.9775,-10.0888,-6.2912,0.8611,-1.6929,10,,-4.4751,4.9549,0.3887,4,-4.5203,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.0182,-7.5988,-4.4926,-0.6575,-2.8392,1.7771,-12.9336,-3.1143,-3.7612,-2.2693,-5.8714,-6.6489,-5.1573,3.371,3.0182,10,,,,,,,4,,-2.2395,0.4427,-0.7778,-0.2909,-0.1105,1.2752,-2.0463,-0.7418,0.3002,0.111,-1.5235,-1.0335,0.3259,-1.1179,-2.2395,QC'd by NIEHS/NTP
351,17389012,6877,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07981014-01/115413424,,Inactive,,,,0,,,,,,,4,,-1.4186,-4.7689,-2.9122,-13.0295,-9.4928,-7.1498,-9.6394,-2.7512,0.3081,0.4085,-7.1576,-7.2366,-7.1422,-4.8462,-1.4186,10,,,,,,,4,,0.4393,0.3492,-6.1561,-9.8703,-8.5504,-1.4449,-10.5931,-1.9711,-0.0905,0.9218,-5.8291,-5.9109,-1.424,0.7135,0.4393,10,,,,,,,4,,-1.8546,-1.3563,3.6324,-2.3474,-1.5717,-0.953,1.0027,2.0344,-1.3009,-0.169,-0.2248,-0.3808,0.2638,2.5418,-1.8546,QC'd by NIEHS/NTP
352,17389013,8821,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944706-01/115412923,,Inactive,,,,0,,,,,,,4,,-3.2085,-6.788,-5.1734,0.3432,4.8654,-10.3087,0.9284,-5.881,-9.4895,-6.005,3.8527,7.954,-3.9063,-2.9731,-3.2085,10,,-5.6251,4.9549,0.3739,5.5,-0.9142,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,7.2209,-1.6648,-1.3601,1.7677,5.9562,-4.5118,-1.928,-1.182,-3.2185,-2.0961,10.1514,10.2543,-0.1452,-0.4912,7.2209,10,,,,,,,4,,-1.4879,-1.6678,-2.5021,-2.004,0.0815,-4.2958,-1.1613,-2.5685,-3.0826,-2.3934,-1.2191,-0.0361,-1.2974,-0.731,-1.4879,QC'd by NIEHS/NTP
353,17389014,12301,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB02509371-01/115413114,,Inactive,,,,0,,,,,,,4,,4.6241,6.1895,9.9072,10.6897,5.7943,7.7075,1.4454,5.717,-1.5169,7.8823,-2.0558,-3.7515,4.282,11.2913,4.6241,10,,-7.2251,2.0479,0.3152,-3.1187,3,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,0.9504,1.8957,4.2643,3.7704,0.1895,0.8139,-5.4022,1.8467,-9.1318,1.2238,-5.2487,-10.5156,0.3363,2.0484,0.9504,10,,,,,,,4,,-1.7116,2.0284,0.8258,1.6217,-0.6127,3.108,3.2616,0.5408,3.216,-0.9108,-1.0069,1.6306,-1.1805,-1.5493,-1.7116,QC'd by NIEHS/NTP
354,17389015,14710,Inconclusive,20,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07990366-01/115413265,,Inhibitor,23.7101,34.3064,,0,Partial curve; partial efficacy,-4.5751,1.331,0.892,-43.2162,-4,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-37.6638,-9.2682,2.2241,-6.3218,-8.3915,-2.3983,-3.4646,-8.1802,1.195,-9.6062,-7.0667,-8.9015,-23.1909,-28.609,-37.6638,0,Partial curve; partial efficacy,-4.6251,1.1,0.8612,-38.3064,-4,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-32.3387,-7.2009,2.3981,-7.1468,-8.1229,-4.777,-4.5318,-10.9542,0.7036,-6.439,-5.8429,-11.5227,-23.2273,-25.0607,-32.3387,10,,-4.3,0.8,0.9318,-20.6251,-0.5,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-13.8542,-0.8277,-0.1217,-0.5742,-1.7818,0.5597,-0.6558,1.5978,-0.1271,-3.5855,-3.1919,-4.1893,-7.2949,-8.8974,-13.8542,QC'd by NIEHS/NTP
355,17389016,3278,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08097184-01/115412199,,Inactive,,,,0,,,,,,,4,,-3.6671,3.2981,-5.867,-2.1427,9.6569,2.081,3.2903,-1.3167,4.6254,2.3233,12.7634,-0.6715,1.5857,1.3421,-3.6671,10,,-5.7251,4.9549,0.3095,3.5,-0.8053,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,-3.1123,0.5217,-6.0878,-3.8234,2.2383,2.6849,-0.0266,-4.4042,0.9438,0.7424,10.023,0.6462,1.4241,2.969,-3.1123,10,,,,,,,4,,1.2585,2.7457,0.4376,1.7487,3.3079,1.2518,-0.8618,1.9304,1.7616,0.706,3.9785,0.4226,1.4362,-0.8988,1.2585,QC'd by NIEHS/NTP
356,17389017,6537504,Active,41,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944788-01/115413073,,Inhibitor,11.8832,67.865,,0,Complete curve; high efficacy,-5.1251,0.8,0.9864,-73.4841,-4.4643,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-67.4122,-6.618,-4.0794,-0.2028,-6.6846,-3.717,-12.5533,-9.3684,-12.9229,-20.2646,-30.5867,-44.2979,-52.4565,-56.4553,-67.4122,0,Partial curve; high efficacy,-4.9251,0.8,0.9778,-66.9264,0.9386,-2.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-60.0231,-1.6225,3.6123,5.5906,-1.1268,0.5973,-7.1244,-1.5333,-6.1951,-10.7072,-20.5118,-29.8683,-40.5305,-44.7755,-60.0231,10,,-5.4,4.9549,0.8684,-4.5193,0,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-4.1197,0.494,0.0439,1.24,-0.2356,-0.4267,-0.9032,-0.9091,0.1627,0.4852,-2.1182,-6.2661,-4.1842,-3.5689,-4.1197,QC'd by NIEHS/NTP
357,17389018,12968,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08583006-01/115412184,,Inconclusive,,,,0,Complete curve; partial efficacy; poor fit,-5.8251,2.4064,0.8241,2.5,-7.0529,1.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,3.8284,-8.2216,-5.3156,-8.7941,-3.2563,-7.0679,-7.6124,-7.1696,-7.0147,0.2001,1.1842,2.9564,4.8281,-1.9131,3.8284,10,,-8.0251,3.132,0.3056,0,-2.7695,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-0.9145,-3.054,-2.5971,-0.793,1.1264,0.408,-3.1413,-0.9758,-1.8046,2.0536,-0.2081,-0.853,2.8333,0.0925,-0.9145,10,,,,,,,4,,-2.8258,-0.0677,2.1752,-0.5752,2.1353,-1.265,1.0079,0.3157,-0.7855,-1.0868,0.181,1.5144,-0.9663,-2.8617,-2.8258,QC'd by NIEHS/NTP
358,17389019,3220,Active,85,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB08007516-01/115412197,,Inhibitor,2.9849,88.1393,,0,Complete curve; high efficacy,-5.5251,1.9282,0.9958,-91.888,-9.1249,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-90.6274,-13.8789,-6.1532,-5.2606,-8.8489,-6.9538,-11.4484,-10.6758,-15.4547,-32.7052,-65.3407,-80.6839,-90.0758,-93.3821,-90.6274,0,Complete curve; high efficacy,-5.5251,1.6259,0.9956,-91.373,-3.2337,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-87.6395,-8.3309,0.0407,-1.7214,-4.7761,-0.18,-6.7473,-4.9038,-13.3383,-29.8233,-58.8508,-78.4493,-90.0014,-92.2959,-87.6395,10,Partial curve; partial efficacy,-4.4,1.3723,0.9801,-57.9564,-2.1203,-2.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-47.1797,-1.6292,-2.7716,-0.6407,-1.8095,-4.1514,-3.5047,-2.9997,-0.3658,-1.5605,-4.9025,-9.6121,-19.6387,-28.1385,-47.1797,QC'd by NIEHS/NTP
359,17389020,68589,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07935479-01/115412920,,Inconclusive,17.7828,35.604,,0,,-6.7751,0.2,0.3783,-18.1287,8,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-20.9406,2.5705,0.1367,4.1141,-12.1992,-2.2796,-6.1625,-3.9175,-7.9409,-12.7507,-3.7648,-17.1536,-2.2043,-5.013,-20.9406,0,Partial curve; partial efficacy; poor fit,-4.7251,3.0654,0.8294,30,-4.3054,2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,6.4394,0.0868,-1.2646,3.2569,-12.3378,-4.6134,-5.5973,-3.5883,-5.8699,-9.0448,1.184,-6.0565,17.8369,26.5553,6.4394,10,Complete curve; partial efficacy,-4.75,1.1,0.9953,-39.1553,-3.5513,-1.2,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-34.2961,-1.7094,-2.8799,-2.4442,-4.1901,-4.1631,-3.7626,-3.9611,-5.1898,-6.2667,-9.7595,-15.1185,-22.0208,-30.6287,-34.2961,QC'd by NIEHS/NTP
360,17389021,5281771,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB13681063-01/115412347,,Inactive,,,,0,,,,,,,4,,-0.2675,2.6617,8.8147,-2.4181,5.5005,6.4422,-3.828,9.0416,6.8864,3.4945,-13.3703,7.3058,2.1106,-5.9579,-0.2675,10,,,,,,,4,,1.5658,-0.3216,0.2509,-0.5877,1.3865,-1.4082,-1.3507,0.6317,-1.4276,2.0845,-19.7629,0.6432,3.0803,-0.0101,1.5658,10,,,,,,,4,,1.085,2.7065,3.1333,0.5221,0.7315,1.6746,0.0023,2.8783,1.7432,1.9321,-0.0201,1.539,0.4549,0.535,1.085,QC'd by NIEHS/NTP
361,17389022,10866,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07944331-01/115412527,,Inconclusive,,,,0,,-8.6751,4.9549,0.313,4.5,-7.4928,4,0 0 0 0 0 0 0 0 0 0 0 0 0 1,12.5616,-7.494,2.5599,10.5896,8.8405,-1.14,5.7495,4.9833,4.1403,0.4809,6.6645,11.5429,-6.3763,2.1439,12.5616,0,Single point of activity,-4.1751,2.7202,0.802,40,2.1512,3,0 0 0 0 0 0 0 0 0 0 0 0 0 0,31.3844,-4.0407,3.4591,0.5567,7.5525,1.5819,6.5333,7.5898,-2.9453,1.3015,3.6114,4.1808,-0.6628,8.9081,31.3844,10,,-4.6,1.5095,0.958,-22.6845,0,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,-20.5704,-0.0761,0.7805,-0.0718,1.6647,-1.9856,-0.3677,1.5126,-1.7146,1.6646,-3.1301,-2.5363,-11.1461,-15.1177,-20.5704,QC'd by NIEHS/NTP
362,17389023,2537,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB02509403-01/115412977,,Inactive,,,,0,,,,,,,4,,13.0541,4.8772,1.9307,2.6701,-0.1566,23.1074,5.0215,-2.6915,3.3654,3.9081,5.3428,2.5661,6.2009,3.3751,13.0541,10,,,,,,,4,,10.5617,2.1218,0.8586,3.829,-0.7426,17.1892,0.2596,-4.0892,0.1807,2.1307,8.9171,0.7976,2.3796,0.8358,10.5617,10,,,,,,,4,,2.671,3.0006,1.0064,-0.4684,0.8,5.2037,1.237,0.8461,1.7102,0.8813,0.2891,0.3321,1.8537,1.6444,2.671,QC'd by NIEHS/NTP
363,17389024,66666,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB02509346-01/115412997,,Inconclusive,,,,0,Partial curve; partial efficacy; poor fit,-4.5751,1.7137,0.7392,19.5,0.5728,2.4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,18.5609,7.3765,-0.2847,-2.6966,1.1991,-4.0435,0.6334,2.6401,1.8539,2.4267,-5.356,4.6905,10.1009,11.7023,18.5609,10,,-4.4751,1.7529,0.6054,9.5,-1.8639,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0,8.3905,2.0938,-2.659,-5.1674,-1.3031,-5.7199,-0.6567,1.8907,-0.3081,-0.4985,-5.3758,-0.0374,2.6711,4.2576,8.3905,10,,,,,,,4,,5.7444,0.8806,2.0374,1.1637,2.2255,-2.7633,-0.7973,0.8871,0.0075,1.0007,-0.3687,0.0333,2.6749,2.9507,5.7444,QC'd by NIEHS/NTP
364,17389025,19283,Inactive,0,http://assay.nih.gov/htsws/rest/display/mitochondria-p1-ntp-1hr/AB07981448-01/115412482,,Inactive,,,,0,,,,,,,4,,-5.0146,-7.1,-4.0893,-11.0348,-3.0498,-15.7014,-11.8642,-21.1265,-7.9846,-4.4832,-17.7507,-11.876,-10.363,-4.4385,-5.0146,10,,,,,,,4,,3.2809,-2.5025,-0.5429,-6.0446,1.5582,-12.7536,-8.6697,-12.1866,-2.3771,-0.3235,-8.782,-3.8854,-0.2892,0.272,3.2809,10,,,,,,,4,,-1.817,-1.2982,-0.8379,-3.2972,-1.0572,0.015,-2.3769,-3.1664,-0.4904,-1.7848,-2.8208,-0.9098,-1.2964,-0.37,-1.817,QC'd by NIEHS/NTP
